"N-mice";"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;
"[reporter]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
;"5";"7";"20";"5";"5";"20";"5";"4";"20";"5";"3";"20";"5";"5";"20";"5";"6";"20";"5";"2";"20";"5";"4";"20";"5";"5";"20";"5";"5";"20";"5";"3";"20";"5";"7";"20";"5";"2";"20";"5";"4";"20";"5";"6";"20";"5";"2";"20";"5";"5";"20";"5";"4";"20";"5";"3";"20";"5";"4";"20";"5";"6";"20";"5";"2";"20";"5";"4";"20";"5";"5";"20";"5";"8";"20";"5";"3";"20";"5";"4";"20";"5";"4";"20";"5";"1";"20";"5";"5";"20"
;"5";"7";"21";"5";"5";"21";"5";"4";"21";"5";"3";"21";"5";"4";"21";"5";"6";"21";"5";"2";"21";"5";"4";"21";"5";"5";"21";"5";"5";"21";"5";"3";"21";"5";"7";"21";"5";"2";"21";"5";"4";"21";"5";"6";"21";"5";"2";"21";"5";"5";"21";"5";"4";"21";"5";"3";"21";"5";"4";"21";"5";"6";"21";"5";"2";"21";"5";"4";"21";"5";"5";"21";"5";"8";"21";"5";"2";"21";"5";"4";"21";"5";"4";"21";"5";"1";"21";"5";"5";"21"
;"5";"7";"22";"5";"5";"22";"5";"2";"22";"5";"3";"22";"5";"4";"22";"5";"6";"22";"5";"2";"22";"5";"4";"22";"5";"5";"22";"5";"5";"22";"5";"3";"22";"5";"7";"22";"5";"1";"22";"5";"3";"22";"5";"6";"22";"5";"2";"22";"5";"5";"22";"5";"4";"22";"5";"3";"22";"5";"4";"22";"5";"5";"22";"5";"2";"22";"5";"4";"22";"5";"5";"22";"5";"8";"22";"5";"1";"22";"5";"4";"22";"5";"4";"22";"5";"1";"22";"5";"4";"22"
;"5";"7";"23";"5";"4";"23";"5";"2";"23";"5";"3";"23";"5";"4";"23";"5";"5";"23";"5";"2";"23";"5";"4";"23";"5";"4";"23";"5";"5";"23";"5";"2";"23";"5";"7";"23";"5";"1";"23";"5";"2";"23";"5";"6";"23";"5";"1";"23";"5";"5";"23";"5";"4";"23";"5";"3";"23";"5";"4";"23";"5";"5";"23";"5";"2";"23";"5";"4";"23";"5";"5";"23";"5";"7";"23";"5";"1";"23";"5";"4";"23";"5";"4";"23";"5";"1";"23";"5";"4";"23"
;"5";"7";"24";"5";"4";"24";"5";"2";"24";"5";"3";"24";"5";"4";"24";"5";"5";"24";"5";"2";"24";"5";"4";"24";"5";"4";"24";"5";"4";"24";"5";"2";"24";"5";"7";"24";"5";"1";"24";"5";"2";"24";"5";"6";"24";"5";"1";"24";"5";"5";"24";"5";"3";"24";"5";"3";"24";"5";"3";"24";"5";"5";"24";"5";"2";"24";"5";"4";"24";"5";"5";"24";"5";"7";"24";"5";"1";"24";"5";"4";"24";"5";"4";"24";"5";"1";"24";"5";"4";"24"
;"5";"7";"25";"5";"4";"25";"5";"2";"25";"5";"3";"25";"5";"3";"25";"5";"4";"25";"5";"2";"25";"5";"4";"25";"5";"3";"25";"5";"3";"25";"5";"2";"25";"5";"7";"25";"5";"1";"25";"5";"2";"25";"5";"6";"25";"5";"1";"25";"5";"5";"25";"5";"3";"25";"5";"3";"25";"5";"3";"25";"5";"5";"25";"5";"2";"25";"5";"4";"25";"5";"5";"25";"5";"7";"25";"5";"1";"25";"5";"4";"25";"5";"4";"25";"5";"1";"25";"5";"3";"25"
;"5";"6";"26";"5";"4";"26";"5";"2";"26";"5";"3";"26";"5";"3";"26";"5";"4";"26";"5";"2";"26";"5";"3";"26";"5";"3";"26";"5";"2";"26";"5";"2";"26";"5";"6";"26";"5";"1";"26";"5";"1";"26";"5";"6";"26";"5";"1";"26";"5";"5";"26";"5";"3";"26";"5";"3";"26";"5";"3";"26";"5";"5";"26";"5";"2";"26";"5";"4";"26";"5";"5";"26";"5";"6";"26";"5";"1";"26";"5";"4";"26";"5";"4";"26";"5";"1";"26";"5";"2";"26"
;"5";"6";"27";"5";"4";"27";"5";"2";"27";"5";"3";"27";"5";"3";"27";"5";"4";"27";"5";"2";"27";"5";"3";"27";"5";"3";"27";"5";"2";"27";"5";"2";"27";"5";"6";"27";"5";"1";"27";"5";"1";"27";"5";"6";"27";"5";"1";"27";"5";"5";"27";"5";"3";"27";"5";"3";"27";"5";"3";"27";"5";"4";"27";"5";"2";"27";"5";"4";"27";"5";"4";"27";"5";"6";"27";"5";"1";"27";"5";"4";"27";"5";"4";"27";;;;"5";"2";"27"
;"5";"6";"28";"5";"3";"28";"5";"2";"28";"5";"3";"28";"5";"3";"28";"5";"4";"28";"5";"2";"28";"5";"3";"28";"5";"3";"28";"5";"2";"28";"5";"2";"28";"5";"5";"28";"5";"1";"28";"5";"1";"28";"5";"6";"28";"5";"1";"28";"5";"5";"28";"5";"3";"28";"5";"2";"28";"5";"3";"28";"5";"4";"28";"5";"2";"28";"5";"4";"28";"5";"3";"28";"5";"6";"28";"5";"1";"28";"5";"4";"28";"5";"4";"28";;;;"5";"2";"28"
;"5";"6";"29";"5";"3";"29";"5";"1";"29";"5";"3";"29";"5";"3";"29";"5";"4";"29";"5";"2";"29";"5";"3";"29";"5";"3";"29";"5";"1";"29";"5";"2";"29";"5";"5";"29";"5";"1";"29";"5";"1";"29";"5";"5";"29";"5";"1";"29";"5";"5";"29";"5";"3";"29";"5";"2";"29";"5";"2";"29";"5";"4";"29";"5";"2";"29";"5";"4";"29";"5";"3";"29";"5";"6";"29";"5";"1";"29";"5";"4";"29";"5";"4";"29";;;;"5";"1";"29"
;"5";"5";"30";"5";"3";"30";"5";"1";"30";"5";"3";"30";"5";"3";"30";"5";"4";"30";"5";"2";"30";"5";"3";"30";"5";"3";"30";"5";"1";"30";"5";"2";"30";"5";"5";"30";"5";"1";"30";"5";"1";"30";"5";"5";"30";"5";"1";"30";"5";"4";"30";"5";"3";"30";"5";"2";"30";"5";"2";"30";"5";"4";"30";"5";"2";"30";"5";"4";"30";"5";"3";"30";"5";"6";"30";"5";"1";"30";"5";"3";"30";"5";"4";"30";;;;"5";"1";"30"
;"5";"5";"31";"5";"3";"31";"5";"1";"31";"5";"2";"31";"5";"3";"31";"5";"3";"31";"5";"2";"31";"5";"3";"31";"5";"3";"31";"5";"1";"31";"5";"2";"31";"5";"5";"31";"5";"1";"31";"5";"1";"31";"5";"5";"31";"5";"1";"31";"5";"4";"31";"5";"3";"31";"5";"2";"31";"5";"2";"31";"5";"3";"31";"5";"2";"31";"5";"4";"31";"5";"2";"31";"5";"6";"31";"5";"1";"31";"5";"2";"31";"5";"4";"31";;;;"5";"1";"31"
;"5";"5";"32";"5";"3";"32";"5";"1";"32";"5";"2";"32";"5";"3";"32";"5";"3";"32";"5";"2";"32";"5";"2";"32";"5";"3";"32";"5";"1";"32";"5";"2";"32";"5";"5";"32";"5";"1";"32";"5";"1";"32";"5";"4";"32";"5";"1";"32";"5";"3";"32";"5";"3";"32";"5";"2";"32";"5";"2";"32";"5";"3";"32";"5";"1";"32";"5";"4";"32";"5";"2";"32";"5";"6";"32";"5";"1";"32";"5";"2";"32";"5";"4";"32";;;;"5";"1";"32"
